19:49:41.391 INFO  utilities.Report -logTestCaseStatusWithSnapShot -SUCCESSFULY LOGED THE STATUS(INFO) WITH DESCRIPTION(Login To Health Choice is initiated successfully) AND SNAPSHOT(D:\WorkspaceProject\FlipKart\Results\_2018-07-23_19_49_04_081\1_HelahChoiceLogin_Screen.png) IN EXTENT REPORT
19:49:46.596 INFO  pageObjects.FlipKartLoginPage -login -METHOD(login) EXECUTED SUCCESSFULLY
19:49:46.596 INFO  accelarators.ActionDriver -screenShot -METHOD(screenShot) EXECUTION STARTED SUCCESSFULLY
19:49:47.066 INFO  accelarators.ActionDriver -screenShot -METHOD(screenShot) EXECUTED SUCCESSFULLY
19:49:47.066 INFO  utilities.Report -logTestCaseStatusWithSnapShot -INTEND TO LOG TEST CASE STATUS WITH DESCRIPTION AND SNAPSHOT IN EXTENT REPORT
19:49:47.066 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:47.066 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:47.066 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:47.067 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:47.067 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:47.067 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:47.067 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:47.067 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:47.067 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:47.068 INFO  accelarators.Base -filePresent -INTENDED TO CHECK IF THE SNAPSHOT FILE IS PRESENT
19:49:47.068 INFO  accelarators.Base -filePresent -FILE(D:\WorkspaceProject\FlipKart\Results\_2018-07-23_19_49_04_081\2_HealthChoiceHomePage.png) IS PRESENT
19:49:47.068 INFO  accelarators.Base -filePresent -SUCCESSFULLY CHECKED IF THE SNAPSHOT FILE IS PRESENT
19:49:47.070 INFO  utilities.Report -logTestCaseStatusWithSnapShot -SUCCESSFULY LOGED THE STATUS(PASS) WITH DESCRIPTION(Successfully logged into Health Choice) AND SNAPSHOT(D:\WorkspaceProject\FlipKart\Results\_2018-07-23_19_49_04_081\2_HealthChoiceHomePage.png) IN EXTENT REPORT
19:49:47.071 INFO  pageObjects.FlipKartWorkFlow -FlipKart_Login -WORKFLOW(newTrackerListingProcess) EXECUTED SUCCESSFULLY
19:49:47.071 INFO  pageObjects.FlipKartWorkFlow -SelectMobile -WORKFLOW(newTrackerListingProcess) EXECUTION STARTED SUCCESSFULLY
19:49:47.073 INFO  pageObjects.FlipKartHomePage -SelectMobile -METHOD(login) EXECUTION STARTED SUCCESSFULLY
19:49:47.073 INFO  methods.MyWebElement -clickOn -INTEND TO CLICK SPECIFIED WEBELEMENT
19:49:47.074 INFO  methods.MyWebElement -isDisplayedOrNot -INTEND TO VERIFY WHETHER SPECIFIED WEBELEMENT IS DISPLAYED OR NOT
